stage	job_id	dependency	status_at_submission	detail
fmDT_gpu_environment_probe_retry3	11141986		COMPLETED 0:0	clean login-shell probe passed on gpu05 with A100-SXM4-80GB, Python grad-tts-masking, PyTorch 2.2.1, and CUDA 12.1
fmDT_checkpoint_prepare_retry3	11142108	afterok:11141986	COMPLETED 0:0	validated existing fmDT base checkpoint SHA-256 e83b05852ddf36c6249afcb2a02a62c6aecb67fd09b5bb2dde4ba9228d823b29 without overwriting it
fmDT_run_array_retry3	11142109	afterok:11142108	SUBMITTED	fresh tasks 11142109_0 through 11142109_4 for model.masking.a=0.2,0.4,0.6,0.8,1; executes fmDT/run.sh in a node-local login environment; gpu33 and gpu34 excluded
fmDT_acceptance_gate_retry3	11142110	afterok:11142109	SUBMITTED	validates all five task exit states and fresh epochs 1-599, checkpoints, and 488 Epoch_595 WAVs per configuration
fmDT_training_loss_retry3	11142111	afterok:11142110	SUBMITTED	merges and validates 2,995 fresh fmDT epoch records into training_loss.log while preserving every non-fmDT row
fmDT_dispatch_retry3	11142112	afterok:11142110	SUBMITTED	extracts all five fmDT gen/out pairs and submits metrics, WER, UTMOSv2, and combined summary dependencies
out_of_scope_all_folder_bridge	11142159	afterok:11142112	CANCELLED_NEVER_STARTED	cancelled after the TAN-18 description's explicit fmDT-only override was re-read; no all-folder finalizer was submitted and no outputs were produced
fmDT_completion_bridge_retry2	11143257	afterok:11142112	SUBMITTED	legacy all-bridge filename retained; after dispatcher completion it submits the terminal audit behind both the dynamic fmDT summary job and its own successful completion, eliminating an accounting race; the terminal payload preserves the five-row fresh fmDT artifacts and also writes combined ten-row TAN-18 artifacts after revalidating the completed scorex0 graph, sidecars, losses, and Slurm provenance
cancelled_completion_bridge_retry1	11142295	afterok:11142112	CANCELLED_NEVER_STARTED	cancelled before start after static audit found its dynamically submitted terminal audit did not depend on the bridge itself even though terminal accounting validates the bridge; superseded safely by 11143257
failed_retry2_graph	11141635-11141640		NOT_CREDITED	environment probe failed before training; dependent run, gate, loss, and dispatch produced no credited TAN-18 outputs
failed_fmDT_run_array_retry1	11141599		FAILED/CANCELLED	tasks 0 and 1 failed on gpu34 before training because Symphony's CPU-node Lmod executable was absent there; tasks 2-4 and all afterok children were cancelled; zero epochs and zero WAVs produced
cancelled_retry1_children	11141600-11141602		CANCELLED	acceptance, loss, and dispatcher children of failed retry array 11141599; never credited
failed_fmDT_run_array	11141050		FAILED/CANCELLED	tasks 0-3 failed on gpu33 before training because Anaconda3/2022.10 was not resolvable; task 4 and afterok children were cancelled; no epochs or WAVs produced
cancelled_failed_graph_children	11141051-11141053		CANCELLED	children of failed array 11141050; never credited
failed_gpu33_module_probe	11141589		FAILED_TO_ALLOCATE	short diagnostic allocation could not start because gpu33 was busy; produced no repository outputs
scorex0_source_run	10803830		REUSED_COMPLETED	five scorex0 configurations already validated by the existing all-folder completion graph
scorex0_metrics	11104611-11104615		REUSED_COMPLETED	five scorex0 metric jobs, one per generated path
scorex0_wer	11104616_29-11104616_33		REUSED_COMPLETED	five Whisper large-v3 WER array tasks
scorex0_utmosv2	11104618_29-11104618_33		REUSED_COMPLETED	five UTMOSv2 array tasks
scorex0_training_loss	11104619		REUSED_COMPLETED	shared dependency-held loss aggregation that produced five scorex0 configurations x epochs 1-599; the TAN-18 loss merge preserves and revalidates these 2,995 rows
scorex0_source_summary	11104956		REUSED_COMPLETED	validated source summary whose scorex0 rows are recomputed from current per-WAV sidecars by the TAN-18 terminal audit
