Epoch 1: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 7.740
Epoch 2: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 2.687
Epoch 3: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.527
Epoch 4: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.173
Epoch 5: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.144
Epoch 6: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.135
Epoch 7: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.130
Epoch 8: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.126
Epoch 9: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.121
Epoch 10: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.118
Epoch 11: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.117
Epoch 12: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.113
Epoch 13: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.113
Epoch 14: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.112
Epoch 15: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.107
Epoch 16: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.107
Epoch 17: duration loss = 0.289 | prior loss = 1.205 | diffusion loss = 0.108
Epoch 18: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.106
Epoch 19: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.108
Epoch 20: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.106
Epoch 21: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.105
Epoch 22: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.105
Epoch 23: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.105
Epoch 24: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.104
Epoch 25: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.102
Epoch 26: duration loss = 0.289 | prior loss = 1.205 | diffusion loss = 0.100
Epoch 27: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.105
Epoch 28: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.099
Epoch 29: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.102
Epoch 30: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.104
Epoch 31: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.101
Epoch 32: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.102
Epoch 33: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.100
Epoch 34: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.101
Epoch 35: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.101
Epoch 36: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.099
Epoch 37: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.099
Epoch 38: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.097
Epoch 39: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.099
Epoch 40: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.098
Epoch 41: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.098
Epoch 42: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.101
Epoch 43: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.100
Epoch 44: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.097
Epoch 45: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.098
Epoch 46: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.097
Epoch 47: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.097
Epoch 48: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.100
Epoch 49: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.100
Epoch 50: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.097
Epoch 51: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.100
Epoch 52: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.098
Epoch 53: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.099
Epoch 54: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.097
Epoch 55: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.096
Epoch 56: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.098
Epoch 57: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.096
Epoch 58: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.097
Epoch 59: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.096
Epoch 60: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.095
Epoch 61: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.097
Epoch 62: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.099
Epoch 63: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.096
Epoch 64: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.095
Epoch 65: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.094
Epoch 66: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.096
Epoch 67: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.098
Epoch 68: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.093
Epoch 69: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.096
Epoch 70: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.095
Epoch 71: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.095
Epoch 72: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.096
Epoch 73: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.095
Epoch 74: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.095
Epoch 75: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.094
Epoch 76: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.095
Epoch 77: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.093
Epoch 78: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.096
Epoch 79: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.094
Epoch 80: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.094
Epoch 81: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.094
Epoch 82: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.092
