Epoch 1: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 7.757
Epoch 2: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 2.722
Epoch 3: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.571
Epoch 4: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.214
Epoch 5: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.185
Epoch 6: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.174
Epoch 7: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.168
Epoch 8: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.166
Epoch 9: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.159
Epoch 10: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.155
Epoch 11: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.155
Epoch 12: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.151
Epoch 13: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.151
Epoch 14: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.152
Epoch 15: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.146
Epoch 16: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.145
Epoch 17: duration loss = 0.289 | prior loss = 1.205 | diffusion loss = 0.145
Epoch 18: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.143
Epoch 19: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.145
Epoch 20: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.144
Epoch 21: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.143
Epoch 22: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.143
Epoch 23: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.142
Epoch 24: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.141
Epoch 25: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.139
Epoch 26: duration loss = 0.289 | prior loss = 1.205 | diffusion loss = 0.137
Epoch 27: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.142
Epoch 28: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.135
Epoch 29: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.140
Epoch 30: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.142
Epoch 31: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.138
Epoch 32: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.137
Epoch 33: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.136
Epoch 34: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.137
Epoch 35: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.137
Epoch 36: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.136
Epoch 37: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.135
Epoch 38: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.134
Epoch 39: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.136
Epoch 40: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.134
Epoch 41: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.135
Epoch 42: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.137
Epoch 43: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.135
Epoch 44: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.132
Epoch 45: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.134
Epoch 46: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.133
Epoch 47: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.132
Epoch 48: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.135
